,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt,level_0,Position,inrix_spline_speed
1260,25921,1618527196.9,124.36651040475644,-0.0331389039140771,31.0,,,-86.6180753,36.012274299999994,,,0.0,0.0,0.0,0.0,58460.00452839616,-58385.70452839616,317.8334600093232,West,True,,,
1261,25922,1618527197.0,124.40523482753932,-0.0267206970886628,31.0,,,-86.6181015,36.012297700000005,,,0.0,0.0,0.0,0.0,58463.51501547633,-58389.21501547633,317.9550114634818,West,True,,,
1262,25923,1618527197.1,124.38430044710458,-0.0203127733885551,31.0,,,-86.6181277,36.0123212,,,0.0,0.0,0.0,0.0,58467.03375173475,-58392.73375173475,317.82040388871843,West,True,,,
1263,25924,1618527197.2,124.36200207582216,-0.0139263901784633,31.0,,,-86.61815379999999,36.0123445,,,0.0,0.0,0.0,0.0,58470.52995836599,-58396.229958365984,317.7113702720772,West,True,,,
1264,25925,1618527197.3,124.33954934858,-0.007575316681355,31.0,,,-86.61818000000001,36.01236779999999,,,0.0,0.0,0.0,0.0,58474.03221025916,-58399.73221025916,317.9550368303397,West,True,,,
1265,25926,1618527197.4,124.40190302175888,-0.0012795547459264,31.0,,,-86.6182062,36.0123913,,,0.0,0.0,0.0,0.0,58477.55094511378,-58403.25094511378,317.9424983100373,West,True,,,
1266,25927,1618527197.5,124.36834579525524,0.0049481857963962,31.0,,,-86.6182323,36.01241470000001,,,0.0,0.0,0.0,0.0,58481.05539833076,-58406.75539833075,317.6840762227212,West,True,,,
1267,25928,1618527197.6,124.31623739639026,0.0110978024755989,31.0,,,-86.6182583,36.012437799999994,,,0.0,0.0,0.0,0.0,58484.52909348874,-58410.229093488735,317.955062121866,West,True,,,
1268,25929,1618527197.7,124.39631211708648,0.0171741430997123,31.0,,,-86.6182845,36.0124613,,,0.0,0.0,0.0,0.0,58488.047826942704,-58413.7478269427,318.05189504627924,West,True,,,
1269,25930,1618527197.8,124.4564518816831,0.0231885680451644,31.0,,,-86.61831049999999,36.0124847,,,0.0,0.0,0.0,0.0,58491.546259980816,-58417.24625998081,317.9550790626575,West,True,,,
1270,25931,1618527197.9,124.44485039267866,0.0291669249931872,31.0,,,-86.61833670000001,36.012508200000006,,,0.0,0.0,0.0,0.0,58495.06499249662,-58420.76499249662,317.8204715223537,West,True,,,
1271,25932,1618527198.0,124.44361791653763,0.0351370786428842,31.0,,,-86.6183628,36.0125315,,,0.0,0.0,0.0,0.0,58498.56119538839,-58424.26119538838,317.7592293211167,West,True,,,
1272,25933,1618527198.1,124.45367399307682,0.0411327040915274,31.0,,,-86.6183889,36.01255475000001,,,0.0,0.0,0.0,0.0,58502.05327979203,-58427.75327979203,317.7592377436088,West,True,,,
1273,25934,1618527198.2,124.463730069616,0.0471802201611739,31.0,,,-86.618415,36.012578000000005,,,0.0,0.0,0.0,0.0,58505.54536372961,-58431.245363729606,318.1733827498512,West,True,,,
1274,25935,1618527198.3,124.36979192664282,0.0533019241698263,31.0,,,-86.618441,36.0126015,,,0.0,0.0,0.0,0.0,58509.052072463805,-58434.7520724638,317.71146328138434,West,True,,,
