,index,Time,Velocity,Acceleration,SpaceGap,LateralDistance,RelativeVelocity,LongitudeGPS,LatitudeGPS,Score,TrackID,L_Approach,R_Approach,L_Adjacent,R_Adjacent,DistanceGPS,MileMarker,Bearing,DrivingDir,ValidPt
3478,7611,1618957505.9,118.31445839418792,-0.3362326472164636,32.0,,,-86.6045285,36.0002643,,,0.0,0.0,0.0,0.0,16535.43916076512,-16461.13916076512,357.56010028470155,West,True
3479,7612,1618957506.0,118.22623440813831,-0.33431364479902503,32.0,,,-86.6045007,36.0002443,,,0.0,0.0,0.0,0.0,16538.785790178514,-16464.485790178514,357.59464792264305,West,True
3480,7613,1618957506.1,118.11281220755386,-0.3315462470413719,32.0,,,-86.6044725,36.0002243,,,0.0,0.0,0.0,0.0,16542.159394124206,-16467.85939412421,357.5844304902048,West,True
3481,7614,1618957506.2,118.0492977906476,-0.3278755805908711,32.0,,,-86.6044447,36.00020449999999,,,0.0,0.0,0.0,0.0,16545.49128770601,-16471.19128770601,357.61374347941614,West,True
3482,7615,1618957506.3,118.01077648504473,-0.3232472145995806,32.0,,,-86.6044167,36.0001848,,,0.0,0.0,0.0,0.0,16548.829399645172,-16474.52939964517,357.57742758654234,West,True
3483,7616,1618957506.4,117.93235846812559,-0.3176016433286103,32.0,,,-86.6043887,36.0001648,,,0.0,0.0,0.0,0.0,16552.18949688581,-16477.88949688581,357.6185952492888,West,True
3484,7617,1618957506.5,117.84949060837464,-0.3108825773442348,32.0,,,-86.6043605,36.000145,,,0.0,0.0,0.0,0.0,16555.548484325365,-16481.248484325366,357.60158527640914,West,True
3485,7618,1618957506.6,117.76556660691048,-0.3030313750936322,32.0,,,-86.6043325,36.00012520000001,,,0.0,0.0,0.0,0.0,16558.89390506604,-16484.59390506604,357.6378639829508,West,True
3486,7619,1618957506.7,117.69416990428827,-0.2940031914941288,32.0,,,-86.6043045,36.00010570000001,,,0.0,0.0,0.0,0.0,16562.217467591494,-16487.9174675915,357.5894466632502,West,True
3487,7620,1618957506.8,117.60322504902929,-0.28376277906695035,32.0,,,-86.6042765,36.000085799999994,,,0.0,0.0,0.0,0.0,16565.570217595414,-16491.27021759542,357.6208506497613,West,True
3488,7621,1618957506.9,117.49145584017408,-0.2723057061070805,32.0,,,-86.60424870000001,36.00006629999999,,,0.0,0.0,0.0,0.0,16568.88016646838,-16494.580166468382,357.6545400621182,West,True
3489,7622,1618957507.0,117.442438867793,-0.2596527073764016,32.0,,,-86.6042205,36.0000468,,,0.0,0.0,0.0,0.0,16572.217386485212,-16497.917386485213,357.6425060651741,West,True
3490,7623,1618957507.1,117.35577501946597,-0.24586952759439815,32.0,,,-86.6041923,36.00002720000001,,,0.0,0.0,0.0,0.0,16575.561842357904,-16501.261842357904,357.613566516332,West,True
3491,7624,1618957507.2,117.32704688790449,-0.2310553213473217,32.0,,,-86.6041643,36.0000075,,,0.0,0.0,0.0,0.0,16578.899958570735,-16504.599958570736,357.6377472468783,West,True
3492,7625,1618957507.3,117.29546118338993,-0.2153551853963268,32.0,,,-86.60413630000002,35.999988,,,0.0,0.0,0.0,0.0,16582.22352394435,-16507.92352394435,357.6702405057687,West,True
3493,7626,1618957507.4,117.23620515951764,-0.19894063318411756,32.0,,,-86.6041082,35.99996870000001,,,0.0,0.0,0.0,0.0,16585.539476609647,-16511.239476609648,357.63770831316947,West,True
3494,7627,1618957507.5,117.19,-0.18201344225617624,32.0,,,-86.6040802,35.9999492,,,0.0,0.0,0.0,0.0,16588.86304292345,-16514.563042923448,357.64978967762636,West,True
3495,7628,1618957507.6,117.15614317976512,-0.16478110444404542,32.0,,,-86.6040522,35.9999298,,,0.0,0.0,0.0,0.0,16592.179366038312,-16517.87936603831,357.71862984215227,West,True
3496,7629,1618957507.7,117.03619365286762,-0.14745595155787594,32.0,,,-86.60402380000002,35.9999107,,,0.0,0.0,0.0,0.0,16595.501678865414,-16521.20167886542,357.6497507347012,West,True
3497,7630,1618957507.8,117.1018557389208,-0.13023188189554247,32.0,,,-86.60399579999998,35.99989129999999,,,0.0,0.0,0.0,0.0,16598.818002915243,-16524.518002915243,357.6942617216062,West,True
3498,7631,1618957507.9,117.00711399422741,-0.11328505811354678,32.0,,,-86.6039677,35.9998722,,,0.0,0.0,0.0,0.0,16602.119608556684,-16527.819608556685,357.69039401305605,West,True
3499,7632,1618957508.0,116.99551658970732,-0.0967575014225376,32.0,,,-86.6039395,35.999853,,,0.0,0.0,0.0,0.0,16605.435256220713,-16531.135256220714,357.7144078220649,West,True
3500,7633,1618957508.1,116.9633757973629,-0.08076368537171871,32.17110931881973,,,-86.60391130000002,35.999834,,,0.0,0.0,0.0,0.0,16608.736628541978,-16534.436628541982,357.68214538514883,West,True
3501,7634,1618957508.2,116.95717812999573,-0.06538239132513812,32.66931867719393,,,-86.6038832,35.999814799999996,,,0.0,0.0,0.0,0.0,16612.045399375143,-16537.745399375144,357.6783203068143,West,True
3502,7635,1618957508.3,116.93065432987976,-0.05066923487643489,33.0,,,-86.60385500000002,35.99979550000001,,,0.0,0.0,0.0,0.0,16615.36821917204,-16541.06821917204,357.72241899202163,West,True
3503,7636,1618957508.4,117.01932363689122,-0.036653661034153406,33.0,,,-86.6038267,35.9997765,,,0.0,0.0,0.0,0.0,16618.676510534315,-16544.376510534315,357.7304113056283,West,True
3504,7637,1618957508.5,116.940024558273,-0.023354210282086132,33.0,,,-86.6037983,35.9997575,,,0.0,0.0,0.0,0.0,16621.991729964622,-16547.691729964623,357.7061876295277,West,True
3505,7638,1618957508.6,116.87206799814213,-0.01077573413909653,33.0,,,-86.6037702,35.9997385,,,0.0,0.0,0.0,0.0,16625.286197062927,-16550.986197062928,357.730373630879,West,True
3506,7639,1618957508.7,116.86679468567965,0.0010759877129445726,33.0,,,-86.6037418,35.9997195,,,0.0,0.0,0.0,0.0,16628.60141744194,-16554.30141744194,357.73026996299615,West,True
3507,7640,1618957508.8,116.8985528235049,0.0122002167461161,33.0,,,-86.6037137,35.99970070000001,,,0.0,0.0,0.0,0.0,16631.881668255948,-16557.58166825595,357.71425619708236,West,True
3508,7641,1618957508.9,116.94714974602972,0.022588570829364527,33.0,,,-86.6036855,35.99968170000001,,,0.0,0.0,0.0,0.0,16635.183044342855,-16560.883044342856,357.7142372613555,West,True
3509,7642,1618957509.0,116.98046941007846,0.032234672068597085,33.0,,,-86.6036573,35.9996627,,,0.0,0.0,0.0,0.0,16638.48442089942,-16564.18442089942,357.71815301147035,West,True
3510,7643,1618957509.1,117.00408088971405,0.04112262421759857,33.0,,,-86.6036292,35.99964379999999,,,0.0,0.0,0.0,0.0,16641.77177060366,-16567.47177060366,357.7302796140201,West,True
3511,7644,1618957509.2,117.03524378536078,0.04923896118249618,33.0,,,-86.6036008,35.9996248,,,0.0,0.0,0.0,0.0,16645.086993346435,-16570.786993346435,357.7301759410731,West,True
3512,7645,1618957509.3,117.1484104064743,0.056561195761653235,33.0,,,-86.6035727,35.999606,,,0.0,0.0,0.0,0.0,16648.367246500202,-16574.0672465002,357.7541095359757,West,True
3513,7646,1618957509.4,117.12956364872778,0.06307071922511635,33.0,,,-86.6035443,35.9995872,,,0.0,0.0,0.0,0.0,16651.66834236075,-16577.36834236075,357.73418692290926,West,True
3514,7647,1618957509.5,117.19306684514042,0.06874142984443864,33.0,,,-86.603516,35.99956829999999,,,0.0,0.0,0.0,0.0,16654.969548992092,-16580.669548992093,357.746144220186,West,True
3515,7648,1618957509.6,117.17872957229923,0.07355310546617537,33.0,,,-86.6034877,35.9995495,,,0.0,0.0,0.0,0.0,16658.263688463772,-16583.963688463773,357.75405345252545,West,True
3516,7649,1618957509.7,117.29841744502731,0.07748106899688426,33.17076883646355,,,-86.6034593,35.9995307,,,0.0,0.0,0.0,0.0,16661.564785740928,-16587.264785740932,357.71802028177194,West,True
3517,7650,1618957509.8,117.28164397866706,0.08050979196553021,33.670765856246234,,,-86.6034312,35.99951179999999,,,0.0,0.0,0.0,0.0,16664.852138698756,-16590.552138698757,357.78567459159797,West,True
3518,7651,1618957509.9,117.35954721935144,0.08262434176845476,34.0,,,-86.6034027,35.9994932,,,0.0,0.0,0.0,0.0,16668.146195706842,-16593.846195706843,357.72606602682924,West,True
3519,7652,1618957510.0,117.38,0.08382327722334329,34.0,,,-86.6033745,35.999474299999996,,,0.0,0.0,0.0,0.0,16671.440472134742,-16597.140472134743,357.78563770678153,West,True
3520,7653,1618957510.1,117.4302413059572,0.08411172118673232,34.0,,,-86.603346,35.99945570000001,,,0.0,0.0,0.0,0.0,16674.734530092202,-16600.434530092203,357.7580085852919,West,True
3521,7654,1618957510.2,117.45715440214519,0.08351192065728598,34.0,,,-86.6033177,35.999437,,,0.0,0.0,0.0,0.0,16678.02162716955,-16603.72162716955,357.76587626990715,West,True
3522,7655,1618957510.3,117.52636838353071,0.0820573404852104,34.0,,,-86.60328929999999,35.99941829999999,,,0.0,0.0,0.0,0.0,16681.315696945363,-16607.015696945364,357.7855822836171,West,True
3523,7656,1618957510.4,117.52210993922544,0.07979945481661263,34.0,,,-86.6032608,35.99939970000001,,,0.0,0.0,0.0,0.0,16684.609756318325,-16610.309756318326,357.7579524729778,West,True
3524,7657,1618957510.5,117.59076063748668,0.07680267017394865,34.0,,,-86.60323249999998,35.999381,,,0.0,0.0,0.0,0.0,16687.896854796796,-16613.596854796797,357.79743924564985,West,True
3525,7658,1618957510.6,117.52112602346584,0.07314680575184362,34.0,,,-86.603204,35.9993625,,,0.0,0.0,0.0,0.0,16691.183944964676,-16616.883944964677,357.75791506486433,West,True
3526,7659,1618957510.7,117.63220727609036,0.06892328855480223,34.0,,,-86.6031757,35.9993438,,,0.0,0.0,0.0,0.0,16694.471044372734,-16620.171044372735,357.82785861194185,West,True
3527,7660,1618957510.8,117.58447987062269,0.0642335536710259,34.0,,,-86.6031468,35.99932529999999,,,0.0,0.0,0.0,0.0,16697.786278299893,-16623.486278299893,357.80507764218436,West,True
3528,7661,1618957510.9,117.70657115284685,0.05918711031220965,34.0,,,-86.6031182,35.9993068,,,0.0,0.0,0.0,0.0,16701.08039127754,-16626.78039127754,357.80088790599183,West,True
3529,7662,1618957511.0,117.72860779263479,0.053896420981567925,34.0,,,-86.6030895,35.9992882,,,0.0,0.0,0.0,0.0,16704.388476243,-16630.088476243,357.79734672278494,West,True
3530,7663,1618957511.1,117.84579644231545,0.04847722209643823,34.0,,,-86.603061,35.999269700000006,,,0.0,0.0,0.0,0.0,16707.675568764513,-16633.375568764513,357.8126628209336,West,True
3531,7664,1618957511.2,117.75587007870341,0.04304074323079755,34.0,,,-86.6030323,35.9992512,,,0.0,0.0,0.0,0.0,16710.976714142747,-16636.676714142748,357.78129771367486,West,True
3532,7665,1618957511.3,117.79509365683536,0.03769662500896173,34.0,,,-86.6030037,35.9992325,,,0.0,0.0,0.0,0.0,16714.284762395517,-16639.984762395514,357.8126260047236,West,True
3533,7666,1618957511.4,117.73812067031149,0.032543921410629,34.0,,,-86.602975,35.999214,,,0.0,0.0,0.0,0.0,16717.585908725756,-16643.285908725757,357.81260756341186,West,True
3534,7667,1618957511.5,117.8137497287045,0.02767708393905829,34.0,,,-86.6029463,35.9991955,,,0.0,0.0,0.0,0.0,16720.88705553017,-16646.587055530174,357.8049483649475,West,True
3535,7668,1618957511.6,117.84703336489723,0.02317753785015077,34.0,,,-86.6029177,35.999177,,,0.0,0.0,0.0,0.0,16724.181171814234,-16649.881171814235,357.8042324608527,West,True
3536,7669,1618957511.7,117.84627515770502,0.019122784136575505,34.0,,,-86.60288879999997,35.9991583,,,0.0,0.0,0.0,0.0,16727.510255035522,-16653.210255035527,357.80836851155334,West,True
3537,7670,1618957511.8,117.85000878188005,0.015579659381357653,34.0,,,-86.60285999999998,35.99913970000001,,,0.0,0.0,0.0,0.0,16730.82536957147,-16656.52536957147,357.8125336725538,West,True
3538,7671,1618957511.9,117.93137197629244,0.0126152247009788,34.0,,,-86.60283129999998,35.99912120000001,,,0.0,0.0,0.0,0.0,16734.12651827831,-16659.82651827831,357.83512254881083,West,True
